Project Started,Ward,Affordable Units
Capitol Courts,6,0
Capitol Crossing,2,50
Capitol Vista,6,192
Channel Square,6,60
Channing Phillips,6,56
Chapman Stables,5,11
City View,8,52
Clifton Street,1,17
Concord Apartments,4,78
Corcoran Flats (1495 Gallaudet Street NE),5,1
Cornerstone Community Supportive Housing,4,7
Cynthia Towns,7,1
Delta Towers,5,179
Diane's House,5,42
Eden (2360 Champlain Street NW),1,2
Elvans Rd Townhomes,8,5
"Elysium Fourteen (1925 14th Street, NW)",1,4
F1rst (Ballpark Square),6,50
Fahrenheit Condominiums,4,3
Fitch and 50th Streets NE - residential,7,100
Florida Rock PUD - stage 2 residential building,6,24
Fort Chaplin Park Apartments,7,549
Fort Lincoln Multifamily,5,55
Fort Stevens Place Apartments,4,59
Gainesville Court 3,8,2
Georgia Row at Walter Reed,4,6
Girard Street Community Partners,5,25
Girard Street Green,1,2
Glenn Arms,1,57
Glick Court,6,1
Hamlin Street Apartments,5,2
Hanover Court TOPA,8,82
Hecht's Warehouse District,5,27
Hedin House,5,48
HFH Transition House,7,7
Hill East Phase I,7,104
Hilltop Apartments (Acquisition),7,96
Hine Junior High School (North LIHTC Residential),6,46
Hope and a Home Scattered Sites II,1,14
HOPE Cooperative,4,19
Il Palazzo,1,8
Jackson Place Flats,5,3
Kara House,1,10
Kensington Place,5,2
Kenyon House Family Tenants Association,1,8
Kingston Condominum,6,2
Kipling House,6,5
Langdon Lofts,5,33
Legacy West End,2,15
Liberty Place Apartments,6,142
Lockwood Apartments,6,13
Luzon Tenant Association,4,43
M2R_1K,4,1
Mai Place,2,4
Manna Brightwood TOPA Pool,4,52
Maplewood Courts,8,94
Mass Place ,2,160
Maya Angelou Cooperative,7,9
Maycroft Redevelopment Project,1,64
Meadow Green Court,7,60
MEDES,8,3
Mercer Lofts,5,0
Mews at Kearny,5,1
Miriam's House (N Street Village),1,25
Missouri Flats,4,1
Montage South Condominiums,4,2
Morton Street Mews,1,2
Mt. Carmel,6,66
N Street Village,2,95
Old Engine Co. 13,6,48
Ontario Court,1,27
Otis Place Apartments,5,1
Park Southern Apartments,8,361
Park Van Ness,3,26
Parkchester Apartments,8,94
Parkway Overlook,8,220
Partner Arms 1,4,14
Partner Arms 2,4,12
Patterson House,2,7
Penn 11,6,3
Phyllis Wheatley,6,84
Plaza West,6,223
"Pleasant Park Cooperative, Inc.",7,41
Pomeroy Gardens,8,60
Pullman Place,6,3
Reed Row,1,15
"Residence at Minnesota Gardens Cooperative, Inc",7,48
Riverside Baptist Church Development (The Banks),6,21
RL Christian,6,33
Saint Elizabeths East Campus Redevelopment Phase I,8,220
Sarah's Circle,1,49
Sheriff Road Apartments,7,2
Sherman Avenue Apartments,1,27
Skyland Town Center,7,143
SOME- Spring Road,1,37
South Capitol Multi-Family Building,8,195
Square 769N Affordable,6,36
St. Matthew's Redevelopment,6,23
St. Thomas,2,4
Stone Hill Condominiums,6,2
Takoma Central,4,9
Takoma Place TOPA,4,105
The Adele,2,1
The Apex,1,2
The Apollo,6,35
The Chaplain,5,2
The Conway Center,7,178
The Corcoran,2,3
The Edison at Union Market,5,38
The Frequency,3,2
The Havana,6,4
The Hendrix,5,4
The Highline at Union Market,5,20
The Homestead Apartments,4,45
The Hoxton,6,1
The Jacob,7,0
The Kingston,4,23
The Lexicon,5,16
The Maryland,6,7
The Morgan,1,4
The Norwood,2,84
The One-Five,6,5
The Perla,6,6
The Shay East,1,7
The Shay West,1,12
The Solstice,7,146
The V at Georgia Ave,1,2
The View at the Waterfront North,6,5
The View at the Waterfront South,6,4
The Warder,1,1
The Wren,1,126
The Yards Parcel L2 - The Estate,6,53
The Yards Parcel O-2,6,39
Thompson Place,4,19
Tivoli Gardens TOPA,5,49
Totten Mews,5,5
Tourus,6,2
Union Market Apartments,5,45
United 2nd Street Tenant Association,8,25
Unity 25,4,27
Valencia Apartments,4,29
Wah Luck House,2,152
Walter Reed - Developer only,4,318
Walter Reed - HELP Walter Reed,4,77
Walter Reed - TPWR,4,80
Walter Reed Building V/U-A/B,4,0
Wash Gateway - Mid Atlantic major modification,5,30
Watkins Alley,6,5
WDC1 - TOPA,7,202
West End Parcels (Square 50 - West End Affordable),2,55
West Half St,6,11
Willow & Maple,4,5
Woodmont Crossing,8,176
